Date,Exp. #,Cyclers,Loading,Notes,Cell Count
08/19/2025,T24,"A5, B2, B4",9.63,SiCx200 test.,3
08/19/2025,T25,"A6, A7, A8",12.27,SiCx200 test.,3
08/21/2025,T26,"A4, B5, B6",13.27,SiCx100 test.,3
09/12/2025,T25-2,A6,12.27,With LiPF6 1:1:1 EL,1
09/12/2025,T27,A8,20.73,"All Gr, LiPF6 1:1:1 EL",1
09/12/2025,T26-2,A7,13.27,With LiPF6 1:1:1 EL,1
09/16/2025,T27b,"B4, B7, B8",13.93,"LiPF6 1:1:1, fresh DMC soln.",3
09/16/2025,N1b,"B1, B2, B3",22.1,"cal, LiPF6 1:1:1.",3
09/16/2025,N2a,"B5, B6, A5",25.43,"No cal, punched in glovebox, LiPF6 1:1:1.",3
09/19/2025,T28,"A3, A6, A7",15,LiTFSI + FEC el.,3
09/22/2025,L10,"B1, B2, B3",16.2,LiTFSI + 10% FEC,3
09/22/2025,L12,"2-3, 2-4, 2-5",18.3,LiTFSI + 10% FEC,3
09/23/2025,L11a,"B2, B4, B7",14.56,"LiTFSI + 10% FEC, uncal",3
09/23/2025,L11b,"A1, A8, B8",14.86,"LiTFSI + 10% FEC, cal.",3
09/24/2025,T27c,"A1, A2, A5",13.93,"LiTFSI + 10% FEC, uncal, poor electrode quality.",3
09/25/2025,N2a,"A4, D3",24.27,"uncal, LiPF6 1:1:1.",2
09/30/2025,N2b,"2-2, 2-7, 4-3, 4-4",28.73,"cal, LiTFSI",4
09/30/2025,T29b,"4-5, 4-8, 2-6",18.03,"cal, LiTFSI + 10% FEC",3
09/30/2025,T30,"3-2, 3-3, 3-5",16.48,"uncal, LiTFSI",3
09/30/2025,T29a,"2-1, 4-1, 4-2",19.67,"uncal, LiTFSI + 10% FEC",3
10/20/2025,L9 B6,"4-1, 4-2",37.97,"LiTFSI, cal",2
10/20/2025,N2a B2,B1,24.27,"uncal, LiTFSI 3:7 + 10% FEC",1
10/20/2025,T31,"B3, B4, B5",12.53,"LiTFSI, uncal",3
10/22/2025,N3,"B6, B7, B8",42.77,"uncal, LiTFSI",3
10/23/2025,N4c,"B2, B3, A8",19.43,"uncal, 1.2M LiPF6 1:1:1 + 10% FEC",3
10/23/2025,N4b,"A5, A6, A7",19.43,"uncal, 1M LiPF6 1:1:1, 5% FEC, 2% VC",3
10/23/2025,N4a,"A1, A2, A4",19.43,"uncal, 1M LiTFSI + 10% FEC",3
10/23/2025,T32,"4-3, 4-4, 4-5",13.76,"uncal, LiTFSI + 10% FEC",3
10/29/2025,N5c,"A4, 4-8",17.83,"uncal, 1M LiFSI, 1:4 FEC:DMC",2
10/29/2025,N5a,"A1, A2, B1",17.83,"uncal, 2M LiFSI, 0.2M LiDFOB 3:7",3
10/29/2025,N5b,"B4, B5, A5",17.83,"uncal, 1.2M LiFSI, EC:DMC 3:7, 2% VC",3
10/30/2025,N5d,"B2, B3, B6",21.9,"uncal, 1M LiPF6 1:1:1, 5% FEC, 2% VC",3
10/30/2025,N5e,"A3, A8, A6",21.9,"uncal, 1.2M LiFSI 3:7, 2% VC",3
10/30/2025,NSF,"A8, B7",21.9,1M LiFSI 1:4 FEC:DMC (remake of N5c),2
11/03/2025,N56,"A3, A6, B5",16.8,"uncal, 1M LiPF6 1:1:1, 5% FEC, 2% VC",3
11/03/2025,NSG,"B2, B3, B6",16.8,"1M LiPF6 1:1:1, 2% LiDFOB, uncal",3
11/04/2025,N5i,"A2, B2, B8",16.8,"uncal, 1.2M LiFSI 3:7, 2% VC",3
11/05/2025,N7,"A1, A4, A5",18.77,"uncal, 2M LiFSI, 0.2M LiDFOB 3:7",3
11/06/2025,N6,"4-3, 4-4, 4-5",20.73,"uncal, 2M LiFSI, 0.2M LiDFOB 3:7",3
11/06/2025,N6d,"B1, B4, B7",20.7,"cal, set 80µm, 2M LiFSI, LiDFOB 3:7",3
11/10/2025,H1,"A7, A8, B1",11.57,"uncal, 2M LiFSI + LiDFOB 3:7",3
11/12/2025,N6b,"B7, B8, 4-3",21.2,"cal, set 70µm, 2M LiFSI, LiDFOB 3:7",3
11/12/2025,N6a,"B2, B6, 4-8",20.67,"cal, set 80µm, 2M LiFSI, LiDFOB 3:7",3
11/12/2025,N6c,"A2, 4-4, 2-7",20.87,"cal, set 60µm, 2M LiFSI, LiDFOB 3:7",3
12/08/2025,N10p,"A5, A6, 2-4",15.73,"cal, 2M LiFSI + 0.2M LiDFOB, slow cycle",3
12/10/2025,FC2,"B3, 4-5, 4-6","C: 15.77, A: 1.33","1M LiPF6, FEC/VC",3
01/06/2026,N10g,"A1, A2, 2-1",16.08,"cal(80C), remake w/ 2M LiFSI, LiDFOB",3
01/14/2026,N12e,19-2,12.95,"cal, 1M LiTFSI, 10% FEC",1
01/14/2026,N10d,"20-6, 20-7",15.73,"1M LiTFSI, 10% FEC",2
01/14/2026,N12f,19-1,13.67,"uncal, 1M LiTFSI, 10% FEC",1
01/14/2026,FC4b,"20-4, 20-5, 20-6","C: 12.95, A: 1.87","1M LiPF6, 5% FEC, 2% VC",3
01/14/2026,FC4a,"20-1, 20-2, 20-3","C: 12.95, A: 1.87","1M LiPF6, 2% LiDFOB, NiO cal.",3
01/20/2026,T34a,"18-4, 18-7",10.37,"cal, 1M LiPF6, 2% LiDFOB",2
01/20/2026,T34b,"18-1, 18-2, 18-3",6.4,"uncal, 1M LiPF6, 2% LiDFOB",3
01/20/2026,FC5,"B1, B2, A2","C: 16.8, A: 4.73","Both cal, 1M LiPF6, 2% LiDFOB",3
01/20/2026,T35a,"18-5, 18-6",15.3,"cal, 1M LiPF6, 2% LiDFOB",2
01/21/2026,FC6a,"B8, B7","C: NiO 12.87, A: T36 8.97","cal, LiPF6, 5/2 FEC/VC",2
01/21/2026,FC6b,B1,"C: NiO 11.8, A: T36 6.97","cal, LiPF6, 5/2 FEC/VC",1
01/21/2026,T36a,"21-3, 21-6, 4-6",4.53,"cal, LiPF6, 5/2 FEC/VC",3
01/21/2026,T35c,"19-7, 19-8",15.3,"cal, LiPF6, 5/2 FEC/VC",2
01/22/2026,FC7,"B1, B7, 2-3","C: NiO 16.37, A: T37 5.13","cal, 1M LiPF6, 5/2 FEC/VC",3
01/22/2026,T22,"21-3, 21-4, 21-5",-,-,3
01/22/2026,T27,"21-6, 21-7, 21-8",13.73,-,3
01/22/2026,T37,"A1, 4-5",3.57,"cal, 1M LiPF6, 5/2 FEC/VC",2
02/17/2026,T40,,2.07,"cal, 1M LiPF6, 5/2 FEC/VC",3
02/17/2026,FC8c,,"C: 14.03, A: 2.70","cal, 1M LiPF6, 2% LiDFOB",1
02/17/2026,FC8a,,"C: 14.03, A: 2.70","cal, 1M LiPF6, 5/2 FEC/VC",3
02/17/2026,FC8b,,"C: 14.03, A: 2.70","cal, 1M LiPF6, 2% LiDFOB",2
